br_id,old_ex_refs,step4_mapped_ex_refs,at_risk
BR-0017-0017,EX-0017-0017,EX-0017-0017,no
BR-0017-0018,EX-0017-0018,EX-0017-0018,no
BR-0017-0019,EX-0017-0019,EX-0017-0019,no
BR-0017-0020,EX-0017-0020,EX-0017-0020,no
BR-0017-0021,EX-0017-0021,EX-0017-0021,no
BR-0017-0022,EX-0017-0022,EX-0017-0022,no
BR-0017-0023,EX-0017-0023,EX-0017-0023,no
BR-0017-0024,EX-0017-0024,EX-0017-0024,no
BR-0017-0025,EX-0017-0025,EX-0017-0025,no
BR-0017-0026,EX-0017-0026,EX-0017-0026,no
BR-0017-0027,EX-0017-0027,EX-0017-0027,no
BR-0017-0028,EX-0017-0028,EX-0017-0028,no
BR-0017-0029,EX-0017-0029,EX-0017-0029,no
BR-0017-0030,EX-0017-0030,EX-0017-0030,no
BR-0017-0031,EX-0017-0031,EX-0017-0031,no
BR-0017-0032,EX-0017-0032,EX-0017-0032,no
BR-0017-0033,EX-0017-0033,EX-0017-0033,no
BR-0017-0034,EX-0017-0034,EX-0017-0034,no
BR-0017-0035,EX-0017-0035,EX-0017-0035,no
BR-0017-0036,EX-0017-0036,EX-0017-0036,no
BR-0017-0037,EX-0017-0037,EX-0017-0037,no
BR-0017-0038,EX-0017-0038,EX-0017-0038,no
BR-0017-0039,EX-0017-0039,EX-0017-0039,no
BR-0017-0040,EX-0017-0040,EX-0017-0040,no
BR-0017-0041,EX-0017-0041,EX-0017-0041,no
BR-0017-0042,EX-0017-0042,EX-0017-0042,no
BR-0017-0043,EX-0017-0043,EX-0017-0043,no
BR-0017-0044,EX-0017-0044,EX-0017-0044,no
BR-0017-0045,EX-0017-0045,EX-0017-0045,no
BR-0017-0046,EX-0017-0046,EX-0017-0046,no
BR-0017-0047,EX-0017-0047,EX-0017-0047,no
BR-0017-0048,EX-0017-0048,EX-0017-0048,no
BR-0017-0049,EX-0017-0049,EX-0017-0049,no
BR-0017-0050,EX-0017-0050,EX-0017-0050,no
BR-0017-0051,EX-0017-0051,EX-0017-0051,no
BR-0017-0052,EX-0017-0052,EX-0017-0052,no
BR-0017-0053,"EX-0017-0053,EX-0017-0067","EX-0017-0053,EX-0017-0067",no
BR-0017-0054,EX-0017-0054,EX-0017-0054,no
BR-0017-0055,EX-0017-0055,EX-0017-0055,no
BR-0017-0056,EX-0017-0056,EX-0017-0056,no
BR-0017-0057,EX-0017-0057,EX-0017-0057,no
BR-0017-0058,EX-0017-0058,EX-0017-0058,no
BR-0017-0059,EX-0017-0059,EX-0017-0059,no
BR-0017-0060,EX-0017-0060,EX-0017-0060,no
BR-0017-0061,EX-0017-0061,EX-0017-0061,no
BR-0017-0062,EX-0017-0062,EX-0017-0062,no
BR-0017-0063,EX-0017-0063,EX-0017-0063,no
BR-0017-0064,EX-0017-0064,EX-0017-0064,no
BR-0017-0065,EX-0017-0065,EX-0017-0065,no
BR-0017-0066,EX-0017-0066,EX-0017-0066,no
BR-0017-0067,EX-0017-0068,EX-0017-0068,no
BR-0017-0068,EX-0017-0069,EX-0017-0069,no
BR-0017-0069,EX-0017-0070,EX-0017-0070,no
BR-0017-0070,EX-0017-0071,EX-0017-0071,no
BR-0017-0071,EX-0017-0072,EX-0017-0072,no
BR-0017-0072,EX-0017-0073,EX-0017-0073,no
BR-0018-0001,"EX-0018-0001,EX-0018-0002","EX-0018-0001,EX-0018-0002",no
BR-0018-0002,EX-0018-0003,EX-0018-0003,no
BR-0018-0003,EX-0018-0004,EX-0018-0004,no
BR-0018-0004,"EX-0018-0005,EX-0018-0006","EX-0018-0005,EX-0018-0006",no
BR-0018-0005,"EX-0018-0007,EX-0018-0008,EX-0018-0009","EX-0018-0007,EX-0018-0008,EX-0018-0009",no
BR-0018-0006,EX-0018-0010,EX-0018-0010,no
BR-0018-0007,EX-0018-0011,EX-0018-0011,no
BR-0018-0008,EX-0018-0012,EX-0018-0012,no
BR-0018-0009,EX-0018-0013,EX-0018-0013,no
BR-0018-0010,"EX-0018-0014,EX-0018-0073","EX-0018-0014,EX-0018-0073",no
BR-0018-0011,EX-0018-0015,EX-0018-0015,no
BR-0018-0012,"EX-0018-0016,EX-0018-0017","EX-0018-0016,EX-0018-0017",no
BR-0018-0013,EX-0018-0018,EX-0018-0018,no
BR-0018-0014,EX-0018-0019,EX-0018-0019,no
BR-0018-0015,"EX-0018-0020,EX-0018-0021,EX-0018-0078","EX-0018-0020,EX-0018-0021,EX-0018-0078",no
BR-0018-0016,EX-0018-0022,EX-0018-0022,no
BR-0018-0017,EX-0018-0023,EX-0018-0023,no
BR-0018-0018,"EX-0018-0024,EX-0018-0025","EX-0018-0024,EX-0018-0025",no
BR-0018-0019,EX-0018-0026,EX-0018-0026,no
BR-0018-0020,EX-0018-0027,EX-0018-0027,no
BR-0018-0021,EX-0018-0028,EX-0018-0028,no
BR-0018-0022,EX-0018-0029,EX-0018-0029,no
BR-0018-0023,"EX-0018-0030,EX-0018-0031,EX-0018-0074","EX-0018-0030,EX-0018-0031,EX-0018-0074",no
BR-0018-0024,EX-0018-0032,EX-0018-0032,no
BR-0018-0025,EX-0018-0033,EX-0018-0033,no
BR-0018-0026,EX-0018-0034,EX-0018-0034,no
BR-0018-0027,EX-0018-0035,EX-0018-0035,no
BR-0018-0028,"EX-0018-0036,EX-0018-0037","EX-0018-0036,EX-0018-0037",no
BR-0018-0029,EX-0018-0038,EX-0018-0038,no
BR-0018-0030,EX-0018-0039,EX-0018-0039,no
BR-0018-0031,EX-0018-0040,EX-0018-0040,no
BR-0018-0032,EX-0018-0041,EX-0018-0041,no
BR-0018-0033,EX-0018-0042,EX-0018-0042,no
BR-0018-0034,"EX-0018-0043,EX-0018-0077","EX-0018-0043,EX-0018-0077",no
BR-0018-0035,"EX-0018-0044,EX-0018-0045,EX-0018-0079","EX-0018-0044,EX-0018-0045,EX-0018-0079",no
BR-0018-0036,EX-0018-0046,EX-0018-0046,no
BR-0018-0037,EX-0018-0047,EX-0018-0047,no
BR-0018-0038,EX-0018-0048,EX-0018-0048,no
BR-0018-0039,"EX-0018-0049,EX-0018-0050","EX-0018-0049,EX-0018-0050",no
BR-0018-0040,EX-0018-0051,EX-0018-0051,no
BR-0018-0041,EX-0018-0052,EX-0018-0052,no
BR-0018-0042,"EX-0018-0053,EX-0018-0054,EX-0018-0075","EX-0018-0053,EX-0018-0054,EX-0018-0075",no
BR-0018-0043,EX-0018-0055,EX-0018-0055,no
BR-0018-0044,EX-0018-0056,EX-0018-0056,no
BR-0018-0045,EX-0018-0057,EX-0018-0057,no
BR-0018-0046,EX-0018-0058,EX-0018-0058,no
BR-0018-0047,"EX-0018-0059,EX-0018-0060,EX-0018-0061,EX-0018-0076","EX-0018-0059,EX-0018-0060,EX-0018-0061,EX-0018-0076",no
BR-0018-0048,EX-0018-0062,EX-0018-0062,no
BR-0018-0049,EX-0018-0063,EX-0018-0063,no
BR-0018-0050,EX-0018-0064,EX-0018-0064,no
BR-0018-0051,EX-0018-0065,EX-0018-0065,no
BR-0018-0052,EX-0018-0066,EX-0018-0066,no
BR-0018-0053,EX-0018-0067,EX-0018-0067,no
BR-0018-0054,EX-0018-0068,EX-0018-0068,no
BR-0018-0055,EX-0018-0069,EX-0018-0069,no
BR-0018-0056,EX-0018-0070,EX-0018-0070,no
BR-0018-0057,EX-0018-0071,EX-0018-0071,no
BR-0018-0058,EX-0018-0072,EX-0018-0072,no
BR-0018-0059,EX-0018-0080,EX-0018-0080,no
BR-0018-0060,"EX-0018-0081,EX-0018-0082","EX-0018-0081,EX-0018-0082",no
